id,is_disaster,disaster_type,disaster_severity,Resources/Help Type needed,location_mentioned,severity_score
0,True,Car Crash,Severe,Medical,Unknown,4
2,True,Earthquake,Mild,None,Different cities,3
3,True,Fire,Moderate,None,spot pond,3
9,True,Wildfire,Moderate,None,Spokane,3
11,True,Typhoon,Severe,Medical,China and Taiwan,5
12,True,Earthquake,Mild,None,Unknown,3
21,False,None,None,None,Unknown,0
22,False,None,None,None,Unknown,0
27,False,None,None,None,Unknown,0
29,False,None,None,None,Unknown,0
30,False,None,None,None,Unknown,0
35,False,None,None,None,Unknown,0
42,False,None,None,None,Unknown,0
43,False,None,None,None,Unknown,0
45,False,None,None,None,Unknown,0
46,True,Fire,Moderate,Firefighting,"Birmingham Wholesale Market, London",3
47,False,None,None,None,Niall's place | SAF 12 SQUAD |,0
51,False,None,None,None,NIGERIA,0
58,False,None,None,None,Live On Webcam,0
60,False,None,None,None,"Los Angeles, Califnordia",0
69,False,None,None,None,threeonefive.,0
70,False,None,None,None,Washington State,0
72,False,None,None,None,"Whoop Ass, Georgia",0
75,True,Fire,Severe,Medical,India,5
84,False,None,None,None,Unknown,0
87,True,Fire,Mild,Firefighting,"scarborough, ontario",2
88,False,None,None,None,Unknown,0
90,False,None,None,None,"121 N La Salle St, Suite 500",0
94,False,None,None,None,Wandering,0
99,True,Car Crash,Mild,Medical,"PaTurnpike, Homewood, PA",3
101,False,None,None,None,Unknown,0
103,False,None,None,None,Unknown,0
106,False,None,None,None,USA,0
108,False,None,None,None,Massachusetts,0
111,True,Car Crash,Mild,Medical,"A27 near Lewes, Bexhill",3
115,False,None,None,None,Anime World,0
116,False,None,None,Legal,Unknown,0
122,False,None,None,None,"Cowtown, Caliii !!",0
123,False,None,None,None,Unknown,0
124,True,Car Crash,Mild,Medical,"M42, UK",3
125,False,None,None,None,"Frankfurt, Germany",0
127,True,Car Crash,Mild,Police,"500 BLOCK OF SE VISTA TER GRESHAM OR, Gresham, OR",3
140,False,None,None,None,Unknown,0
142,True,Accident,Severe,"Medical, Financial",Las Vegas,5
147,False,None,None,None,"Midland, Mi",0
148,False,None,None,None,"SÌ£o Vicente, SÌ£o Paulo",0
150,False,None,None,None,"Vault 101, Fallout",0
152,False,None,None,None,Switzerland,0
